run,engine,concurrency,output_tok_s,output_tok_s_per_gpu,req_s,ttft_p50_ms,e2e_p50_s,avg_gpu_util_pct,avg_power_w,tok_s_per_watt,n_failed
trtllm-tp1-bf16,trtllm,1,155.11053642114933,155.11053642114933,0.6059005328951146,121.84181367047131,1.0028853559633717,6.9655172413793105,435.8555172413793,0.3558760421409286,0
trtllm-tp1-bf16,trtllm,2,305.4370459489537,305.4370459489537,1.1931134607381004,126.32294814102352,1.0199756319634616,99.58620689655173,711.0424137931035,0.42956234399517645,0
trtllm-tp1-bf16,trtllm,4,388.6586207777755,388.6586207777755,1.5181977374131856,1861.8948149960488,2.0030022081919014,98.05263157894737,721.2742105263158,0.5388500172412518,0
trtllm-tp1-bf16,trtllm,8,416.2318403399487,416.2318403399487,1.6259056263279246,4410.556577495299,4.4579263280611485,99.75,717.58125,0.5800483782706819,1
trtllm-tp1-bf16,trtllm,16,292.91358308639633,292.91358308639633,1.1441936839312357,4606.898686964996,9.068244504509494,37.125,306.455,0.9558127068783225,32
trtllm-tp1-bf16,trtllm,32,318.4060435322484,318.4060435322484,1.2437736075478454,5582.291832426563,16.175363710033707,56.857142857142854,491.12285714285713,0.648322591590623,48
trtllm-tp1-bf16,trtllm,64,525.2041976671584,525.2041976671584,2.0515788971373374,2600.1713594887406,25.97522546397522,59.8,505.182,1.03963363236845,24
trtllm-tp1-bf16,trtllm,128,582.6998170336651,582.6998170336651,2.2761711602877543,167.91214398108423,47.95972554106265,38.5,484.15375,1.2035429179959158,46
trtllm-tp1-bf16,trtllm,256,657.6300643890995,657.6300643890995,2.56886743901992,393.95253313705325,84.93906845408492,33.23076923076923,501.39153846153846,1.3116098177623037,46
vllm-tp1-bf16,vllm,1,137.68628649158939,137.68628649158939,0.537837056607771,16.62020105868578,1.1704422410111874,60.55263157894737,479.5781578947368,0.2870987433956705,0
vllm-tp1-bf16,vllm,2,269.6319494185608,269.6319494185608,1.053249802416253,120.02014508470893,1.1760562509298325,88.31428571428572,648.836,0.41556256036742845,0
vllm-tp1-bf16,vllm,4,371.3683749293396,371.3683749293396,1.4506577145677328,1948.702783556655,2.0874066200340167,88.25,654.8715,0.5670858709370306,0
vllm-tp1-bf16,vllm,8,408.38726510670386,408.38726510670386,1.595262754323062,4471.615464542992,4.581080202944577,88.0,653.802,0.624634469008513,1
vllm-tp1-bf16,vllm,16,289.29719986722716,289.29719986722716,1.130067186981356,4622.42878950201,9.245930744102225,32.125,371.64,0.778433967999212,32
vllm-tp1-bf16,vllm,32,402.47378168893755,402.47378168893755,1.5721632097224123,2139.7285060957074,12.404262077994645,48.2,452.08,0.8902711504356254,26
vllm-tp1-bf16,vllm,64,428.85681566757734,428.85681566757734,1.675221936201474,2268.3490430936217,22.99978246795945,54.833333333333336,542.2083333333334,0.7909447149790099,48
vllm-tp1-bf16,vllm,128,554.2061084824564,554.2061084824564,2.1648676112595955,346.4052160270512,45.5333563699387,56.142857142857146,626.0157142857142,0.8852910491469168,47
vllm-tp1-bf16,vllm,256,687.3495617338085,687.3495617338085,2.6849592255226895,374.59121784195304,80.14910428505391,53.57142857142857,671.3128571428572,1.0238885706125225,48
vllm-tp1-fp8,vllm,1,161.858660928251,161.858660928251,0.6322603942509805,121.0518628358841,0.9191425109747797,4.833333333333333,356.8346666666667,0.45359567342555746,0
vllm-tp1-fp8,vllm,2,316.961419435498,316.961419435498,1.238130544669914,120.76004105620086,0.9250007590744644,85.1,541.419,0.5854272189108584,0
vllm-tp1-fp8,vllm,4,375.75893217569364,375.75893217569364,1.4678083288113033,1982.3901320341974,2.0814083649311215,84.89473684210526,546.6421052631579,0.6873947845543298,0
vllm-tp1-fp8,vllm,8,415.2522127767621,415.2522127767621,1.622078956159227,4459.779149503447,4.557010538526811,84.88888888888889,548.2466666666667,0.757418581861137,1
vllm-tp1-fp8,vllm,16,290.7511586208031,290.7511586208031,1.135746713362512,4598.271116963588,8.953542061615735,30.75,339.80875,0.8556317593964343,32
vllm-tp1-fp8,vllm,32,288.0683031086512,288.0683031086512,1.1252668090181688,4406.389041105285,17.9564227234805,40.833333333333336,374.79833333333335,0.7685954751897275,56
vllm-tp1-fp8,vllm,64,432.3941450067909,432.3941450067909,1.689039628932777,2237.7962039317936,22.881826345808804,46.4,437.994,0.9872147677977116,47
vllm-tp1-fp8,vllm,128,660.151379774722,660.151379774722,2.578716327245008,179.96597103774548,41.960891989059746,50.333333333333336,515.075,1.2816606897533795,27
vllm-tp1-fp8,vllm,256,650.7645584624655,650.7645584624655,2.542049056494006,392.59809849318117,87.29019097203854,50.857142857142854,611.2757142857143,1.0646007084101068,47
