run,engine,input_len,output_len,ttft_p50_ms,ttft_p99_ms,e2e_p50_s,e2e_p99_s,mean_itl_ms,n_failed
trtllm-tp1-bf16,trtllm,128,128,23.49926915485412,28.762640305794775,0.5089594605378807,0.5269121236377395,3.830203324956013,0
trtllm-tp1-bf16,trtllm,128,256,22.911626030690968,27.82093157060444,0.9989006605464965,1.0046090618055314,3.8278751681084,0
trtllm-tp1-bf16,trtllm,512,128,23.34531955420971,29.286334523931146,0.510738865355961,0.5160316002019681,3.8361280119801893,0
trtllm-tp1-bf16,trtllm,512,256,23.4935610787943,25.607903802301735,1.00252880807966,1.007763889094349,3.841100201312014,0
trtllm-tp1-bf16,trtllm,2048,128,32.06604195293039,33.96448332583531,0.5285765754524618,0.5312934941542334,3.9094420270004315,0
trtllm-tp1-bf16,trtllm,2048,256,31.911331578157842,32.533138575963676,1.0298614135244861,1.0335839428543112,3.913818069907161,0
vllm-tp1-bf16,vllm,128,128,12.165468418970704,13.287172608543186,0.5849768848856911,0.5966154340724461,4.515187499135381,0
vllm-tp1-bf16,vllm,128,256,12.021041940897703,13.179920900147408,1.162206513574347,1.1641894465545193,4.510881064970996,0
vllm-tp1-bf16,vllm,512,128,14.839159441180527,15.58354111853987,0.5922979711322114,0.6004711593268439,4.547134279841777,0
vllm-tp1-bf16,vllm,512,256,14.75103897973895,16.08027384849265,1.1792882774025202,1.189874542702455,4.569185118775303,0
vllm-tp1-bf16,vllm,2048,128,33.512207912281156,35.42353631230071,0.6246341253863648,0.6259259644639679,4.652631494920613,0
vllm-tp1-bf16,vllm,2048,256,33.71613647323102,37.63971229549497,1.2084839175222442,1.2220863451063633,4.620658807894763,0
vllm-tp1-fp8,vllm,128,128,11.000696918927133,11.555120726116002,0.4602243044646457,0.46921311248093844,3.5533827070447463,0
vllm-tp1-fp8,vllm,128,256,10.99469664040953,11.869165087118743,0.9143478741170838,0.9172090173186734,3.5426736137300145,0
vllm-tp1-fp8,vllm,512,128,13.840556959621608,14.346259674057364,0.47338505648076534,0.4741618012683466,3.612651344843385,0
vllm-tp1-fp8,vllm,512,256,13.851745519787073,14.62074831360951,0.9365173620171845,0.9383924005599692,3.6186485125354544,0
vllm-tp1-fp8,vllm,2048,128,28.070965432561934,28.500718127470464,0.4881702749989927,0.4889183984650299,3.62266803226309,0
vllm-tp1-fp8,vllm,2048,256,28.15798413939774,30.032571069896218,0.9520935240434483,0.9536776808649301,3.6230039140940007,0
